"Location","beta.LocationRabida","se.LocationRabida","W.LocationRabida","p_val.LocationRabida","q_val.LocationRabida","diff_abn.LocationRabida"
"glycolysis III (from glucose)",0.716088582830206,0.315333599175023,2.27089211141356,0.0231535099258419,1,FALSE
"L-ornithine biosynthesis II",-3.85322288959367,1.62123847765649,-2.37671566687927,0.0174675468656858,1,FALSE
"biotin biosynthesis I",-2.58725998788794,1.2106213073246,-2.13713402550764,0.0325870921836936,1,FALSE
"superpathway of branched chain amino acid biosynthesis",0.641006055590663,0.31734908975367,2.01987677383357,0.043396171025672,1,FALSE
"pyruvate fermentation to butanoate",-4.3860528923418,1.66092084470162,-2.64073565355833,0.0082726238561833,1,FALSE
"fatty acid &beta;-oxidation I (generic)",-2.68795555890093,1.20563952958435,-2.22948525902067,0.0257816350384908,1,FALSE
"fatty acid elongation -- saturated",-2.72479554082725,1.2663019765461,-2.15177389856033,0.0314151665654647,1,FALSE
"mixed acid fermentation",-4.12145212619732,1.850395944215,-2.22733525712832,0.025924875859,1,FALSE
"superpathway of tetrahydrofolate biosynthesis and salvage",-4.19753317150359,1.74530274810139,-2.40504587302681,0.0161704358197586,1,FALSE
"glucose and glucose-1-phosphate degradation",-3.75036086662056,1.49283557891069,-2.5122397399968,0.0119967558307973,1,FALSE
"glycogen biosynthesis I (from ADP-D-Glucose)",0.692860965585816,0.318010795968871,2.17873410075562,0.0293514269437023,1,FALSE
"superpathway of glycolysis and the Entner-Doudoroff pathway",-3.5647321240163,1.28882594282904,-2.7658755193828,0.00567702006686051,1,FALSE
"L-histidine degradation I",0.592140263588399,0.301285896839273,1.96537663993044,0.0493706611442327,1,FALSE
"L-isoleucine biosynthesis I (from threonine)",0.634313646288582,0.317459667034737,1.99809207958116,0.045706678277887,1,FALSE
"methylerythritol phosphate pathway I",0.572379435114199,0.288617445112157,1.98317684813464,0.0473476790122646,1,FALSE
"pentose phosphate pathway (non-oxidative branch) I",0.576653648977532,0.292685884359357,1.97021339187482,0.0488139193745062,1,FALSE
"pyruvate fermentation to acetate and (S)-lactate I",0.653856670699928,0.31490850863044,2.07633853255855,0.0378626518881292,1,FALSE
"incomplete reductive TCA cycle",-2.78913508095172,1.2798536505543,-2.17926094889346,0.0293122884714766,1,FALSE
"hexitol fermentation to lactate, formate, ethanol and acetate",5.57188331318573,1.79331815881049,3.10702442051977,0.00188980786688761,0.427096577916599,FALSE
"phosphopantothenate biosynthesis I",0.640271998210015,0.318770297806924,2.00856856054331,0.0445829083066634,1,FALSE
"superpathway of coenzyme A biosynthesis I (bacteria)",0.634141205932447,0.308602109510624,2.05488292655568,0.0398903139274705,1,FALSE
"pentose phosphate pathway",-7.36803780402039,1.36972238249148,-5.37921983184518,7.48093157034042e-08,1.7954235768817e-05,TRUE
"peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.582345714523701,0.290196083685067,2.00673181777217,0.0447782262054165,1,FALSE
"superpathway of phospholipid biosynthesis I (bacteria)",-5.22368047796808,1.6664655891459,-3.13458646370571,0.00172096528673301,0.390659120088394,FALSE
"polyisoprenoid biosynthesis (E. coli)",-4.25559643875081,1.82581926847556,-2.33078734145683,0.019764575934059,1,FALSE
"glycolysis IV",0.665086345031422,0.311461926773148,2.1353696482968,0.0327308278851066,1,FALSE
"CMP-3-deoxy-D-manno-octulosonate biosynthesis",-4.86567531799678,1.82809082060221,-2.66161574860593,0.00777665980136069,1,FALSE
"pyruvate fermentation to acetate and lactate II",0.721045424352375,0.308344629958888,2.33844002552765,0.0193644334452791,1,FALSE
"L-isoleucine biosynthesis III",0.651479063913792,0.316514753229984,2.05828972351383,0.0395623300761556,1,FALSE
"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",-4.00869525580699,2.04127736564887,-1.96381703107394,0.0495513142970262,1,FALSE
"fatty acid &beta;-oxidation IV (unsaturated, even number)",-2.70275894572656,1.20903458374807,-2.23546868059627,0.025386595549088,1,FALSE
"superpathway of L-methionine biosynthesis (by sulfhydrylation)",-6.08634259214457,1.63192629327442,-3.72954502738754,0.000191825826243273,0.0445035916884393,TRUE
"L-glutamate and L-glutamine biosynthesis",-3.13209395574084,1.17545055583456,-2.66459013541159,0.00770822062365169,1,FALSE
"GDP-mannose biosynthesis",0.675713121801347,0.341364693186795,1.97944642573682,0.0477657658647468,1,FALSE
"TCA cycle II (plants and fungi)",-4.16139904949182,1.71924364714539,-2.42048243505297,0.0154999280993156,1,FALSE
"Rubisco shunt",0.74188520306941,0.315049608631872,2.3548202655801,0.0185316667529044,1,FALSE
"glycogen degradation II",0.734739832169818,0.324413179251028,2.2648273225709,0.0235232780634637,1,FALSE
"cis-vaccenate biosynthesis",-3.90663606053475,1.64642548574265,-2.37279858357671,0.017653887899851,1,FALSE
"stearate biosynthesis II (bacteria and plants)",-2.61315290461963,1.22385629073528,-2.13517953406904,0.03274634796951,1,FALSE
"inosine-5-phosphate biosynthesis I",0.642145442821157,0.299381583723957,2.14490629261032,0.0319603400229086,1,FALSE
"inosine-5-phosphate biosynthesis II",0.63770009322568,0.300551625601509,2.12176557671056,0.0338574286908666,1,FALSE
"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",-6.52319943427157,1.60491880682846,-4.0645043266471,4.81346460924384e-05,0.0113597764778155,TRUE
"S-adenosyl-L-methionine salvage I",0.640281084553985,0.308579953921029,2.07492766920902,0.0379932388837299,1,FALSE
"isoprene biosynthesis I",-5.73188425555635,1.72151134702962,-3.32956519017224,0.000869816996879711,0.200057909282334,FALSE
"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",-2.66363620220617,1.24189856226448,-2.14480979617955,0.0319680576477541,1,FALSE
"superpathway of putrescine biosynthesis",0.712821265985229,0.334658244385934,2.12999762576651,0.0331718093821926,1,FALSE
"D-galactose degradation I (Leloir pathway)",0.827912144148067,0.347124163085901,2.38506054083935,0.0170763109103686,1,FALSE
"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.585173005265924,0.290632731827615,2.01344494677568,0.0440678411568136,1,FALSE
"8-amino-7-oxononanoate biosynthesis I",-2.55445847232691,1.19781092484155,-2.13260575550755,0.0329570807892502,1,FALSE
"stachyose degradation",0.689901846166534,0.327173966988493,2.10866974691418,0.0349730979282051,1,FALSE
"L-glutamine biosynthesis III",-3.95642728384199,1.92078884111646,-2.05979293462696,0.0394183403147043,1,FALSE
"superpathway of Clostridium acetobutylicum acidogenic fermentation",-4.53293962210542,1.7062724913386,-2.65663289135562,0.00789253370982754,1,FALSE
"adenine and adenosine salvage III",0.697280387381298,0.317492217477927,2.19621253371281,0.0280767346803375,1,FALSE
"superpathway of tetrahydrofolate biosynthesis",-4.03423936102107,1.67928515268132,-2.4023551655772,0.0162898838550674,1,FALSE
"starch degradation III",-4.14801189444268,1.62067983709121,-2.55942709936314,0.0104844843134772,1,FALSE
"phosphatidylcholine acyl editing",-3.2722924098228,1.25399989859716,-2.60948379141296,0.00906789417443097,1,FALSE
"molybdopterin biosynthesis",0.689448379270911,0.314121364957485,2.19484713930306,0.0281745647434286,1,FALSE
"isopropanol biosynthesis (engineered)",-4.55659908979016,1.68803818402751,-2.69934598216169,0.00694759060181457,1,FALSE
"superpathway of thiamine diphosphate biosynthesis II",-5.15455962070948,1.93411168305103,-2.66507858149032,0.00769703346341674,1,FALSE
"superpathway of glucose and xylose degradation",-5.74319072682253,1.74813337381706,-3.28532754585095,0.00101863878355432,0.23326828143394,FALSE
"TCA cycle V (2-oxoglutarate synthase)",-5.21902084196236,1.64613781038541,-3.17046410636812,0.00152195634743254,0.347006047214618,FALSE
"1,5-anhydrofructose degradation",-4.01815713985012,1.1995314847595,-3.34977213262204,0.000808780651851352,0.186828330577662,FALSE
"C4 photosynthetic carbon assimilation cycle, NAD-ME type",-3.28459712146858,1.57984765686792,-2.07905939992997,0.0376118911704746,1,FALSE
"pyrimidine deoxyribonucleosides salvage",0.69006991526393,0.324053666911481,2.12949269125978,0.0332135189353904,1,FALSE
"pyridoxal 5-phosphate salvage II (plants)",-3.54050838903511,1.69773464062014,-2.08543096448915,0.0370301985745232,1,FALSE
"sucrose biosynthesis II",0.766865547843925,0.328365304415825,2.3354037029223,0.0195223411719764,1,FALSE
"4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II",-4.9371132176663,1.91164012258995,-2.58265829395616,0.00980423744546067,1,FALSE
"thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)",0.812714363205529,0.354078207417503,2.29529619778953,0.0217161553721079,1,FALSE
"L-arginine biosynthesis IV (archaebacteria)",0.733493676410709,0.344501226007316,2.12914678101939,0.0332421183633491,1,FALSE
"methylerythritol phosphate pathway II",-4.34350895437593,1.72071794069484,-2.52424226635424,0.0115947991711513,1,FALSE
"gondoate biosynthesis (anaerobic)",-3.96938466529801,1.63042188902246,-2.4345751808312,0.0149092822843576,1,FALSE
"oleate biosynthesis IV (anaerobic)",-2.71858627010279,1.26377693153433,-2.15115990984438,0.0314635801445735,1,FALSE
"NAD salvage pathway II (PNC IV cycle)",0.636182673555629,0.2854690076882,2.22855250980692,0.0258436938536419,1,FALSE
"UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)",0.584572083266294,0.286199862116395,2.04253097448577,0.0410988901611654,1,FALSE
"L-arginine degradation XIII (reductive Stickland reaction)",1.13513403408895,0.304265328602652,3.73073737747934,0.00019092016122383,0.0444843975651523,TRUE
"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis",-4.93394817965307,1.19773906530546,-4.11938486651493,3.79885180416815e-05,0.00900327877587851,TRUE
"purine ribonucleosides degradation",0.76511975066436,0.333628048751885,2.29333161143586,0.0218289206173144,1,FALSE
"superpathway of pyrimidine deoxyribonucleosides degradation",0.777179424102345,0.341704219033782,2.27442150494931,0.0229406556762105,1,FALSE
"ethanolamine utilization",1.54432829402037,0.75390067388866,2.04845060829385,0.0405158670212353,1,FALSE
"tRNA processing",-5.91373941760542,1.23698855947268,-4.78075514306001,1.74637962647159e-06,0.000417384730726711,TRUE
"superpathway of pyridoxal 5-phosphate biosynthesis and salvage",-8.75832226075181,0.77079593574361,-11.3626990680775,6.41320832264989e-30,1.54558320575862e-27,TRUE
"assimilatory sulfate reduction IV",-6.38424313961377,1.52295329297745,-4.19201505985272,2.76487637520902e-05,0.00658040577299747,TRUE
"pyridoxal 5-phosphate biosynthesis I",-8.48039333224722,0.745372125334732,-11.3773953224221,5.41942261627032e-30,1.31150027313742e-27,TRUE
"L-rhamnose degradation I",-4.29616822612304,1.71672454137961,-2.5025378985207,0.0123306423011827,1,FALSE
"assimilatory sulfate reduction I",-5.87066531555692,1.50482213823233,-3.90123534629349,9.5703052003076e-05,0.0224902172207229,TRUE
"superpathway of sulfate assimilation and cysteine biosynthesis",-6.12201335053661,1.59755308167153,-3.83211889531152,0.000127044311248064,0.0297283688320469,TRUE
"UDP-N-acetyl-D-glucosamine biosynthesis I",0.734423439088336,0.328526482940677,2.23550756856626,0.025384045302596,1,FALSE
